location	cabin url	image url	caption	lat	lng	cabin_page_url
Squamish, BC, Canada	http://cabinporn.com/image/103462894757	http://36.media.tumblr.com/fe2b28b0fbd85e92460f702770022b07/tumblr_nfi7loemXA1qzwmsso1_1280.jpg	Treehouse built from salvaged materials near Squamish, British Columbia.	49.7016339	-123.1558121	http://cabinporn.com/page/3
Ushuaia, Argentina	http://cabinporn.com/image/103300971020	http://40.media.tumblr.com/0ad823abe37e227d802dfcf16bf0e624/tumblr_nfay361K521qzwmsso1_1280.jpg	Ski cabin with red windows in Ushuaia, Argentina.	-54.8019121	-68.3029511	http://cabinporn.com/page/3
Quebec, Canada	http://cabinporn.com/image/103059536195	http://41.media.tumblr.com/e61363c9e4cb25f25656118af6bb6a21/tumblr_nf9pltwC8J1qzwmsso1_1280.jpg	Ice fishing hut on the Saguenay River in Québec, Canada.	52.9399159	-73.5491361	http://cabinporn.com/page/3
Sautens, Austria	http://cabinporn.com/image/102461511390	http://41.media.tumblr.com/8ffe4e1502b274f457d90c2919396120/tumblr_newb45Dhg11qzwmsso1_1280.jpg	Chalet near Sautens, Austria.	47.208156	10.8619685	http://cabinporn.com/page/3
	http://cabinporn.com/image/102277072894	http://41.media.tumblr.com/e7a30fdcde159e4da1efa86f83b53c37/tumblr_neqjwgTyeR1qzwmsso1_1280.jpg	Dusty blue cabin in progress, located somewhere unknown to us.			http://cabinporn.com/page/4
624 34 Gotland, Sweden	http://featuringfeaturing.co.uk	http://40.media.tumblr.com/6d15f41b24127b48160ef48f49f1eb8a/tumblr_ndleneJbx71qzwmsso1_r1_1280.png	Waxed cotton A-frame on the island of Gotland, Sweden.	57.649684	18.714468	http://cabinporn.com/page/4
Mount Desert Island, Maine, USA	http://cabinporn.com/image/101931433018	http://41.media.tumblr.com/0e10bfb08116e3097bc78f403d3221bb/tumblr_nebp11sKUA1qzwmsso1_1280.jpg	Log cabin on Mount Desert Island, Maine.	44.3924341	-68.3021373	http://cabinporn.com/page/4
Julian Alps, Triglav National Park, Naravni spomenik Dolina Triglavskih jezer, 4265 Bohinjsko jezero, Slovenia	http://cabinporn.com/image/101678699168	http://40.media.tumblr.com/97604e99b7a233cb91f389211d46d003/tumblr_ned5moYz9T1qzwmsso1_1280.jpg	Cabin at 6,798 feet in the Julian Alps, Slovenia. 	46.33	13.75	http://cabinporn.com/page/4
Lyme, CT, USA	http://cabinporn.com/image/101426550155	http://41.media.tumblr.com/84cff35e2e67f6821e6a4cc2f935ac1e/tumblr_mvqx3vlwAj1qzwmsso1_1280.jpg	12x16-foot cabin built in the 1970s in Lyme, Connecticut. 	41.4	-72.35	http://cabinporn.com/page/4
The Tongass National Forest, Ketchikan, AK 99901, USA	http://cabinporn.com/image/101008086180	http://40.media.tumblr.com/e41b543d33ceb689d1be6e5dbaa2657a/tumblr_ndtlsrIChr1qzwmsso1_1280.jpg	Green cabin in Tongass National Forest, Alaska.	56.75	-133	http://cabinporn.com/page/4
Beaver Brook School, Long Pond, PA 18334, USA	http://cabinporn.com/image/100594981625	http://41.media.tumblr.com/f5920ea419dee3ad551e4eda718e7e0d/tumblr_ndrph90RQA1qd8hvko1_1280.jpg	Sauna built by the Beaver Brook School, clad with pine boards, coated with pine tar, roofed with steel.	41.07508869999999	-75.4407409	http://cabinporn.com/page/4
Sighișoara, Romania	http://cabinporn.com/image/100088313160	http://40.media.tumblr.com/c06e959d7e8230815bfac45745b6d902/tumblr_ndhxqkRqe01qzwmsso1_1280.jpg	Shepard’s lodge in the Breite Oak Tree Reserve near Sighisoara, Transylvania, Romania.	46.216944	24.791111	http://cabinporn.com/page/4
Isle of Eigg, Isle of Eigg, Highland PH42, UK	http://cabinporn.com/image/99657062915	http://40.media.tumblr.com/805efff06b743fb75982b7dc667628cc/tumblr_ncoif251ze1qzwmsso1_1280.jpg	Art residency space on the Isle of Eigg, Scotland.	56.899527	-6.141611999999999	http://cabinporn.com/page/5
Zakarpats'ka oblast, Ukraine	http://cabinporn.com/image/99573672660	http://41.media.tumblr.com/f5ec8ff3da6b403f462a79348c13043a/tumblr_nd50u5wLjn1qzwmsso1_1280.jpg	Abandoned cabin near the village of Zhornava, Transcarpathia, Ukraine.	48.6208	22.287883	http://cabinporn.com/page/5
Zakarpats'ka oblast, Ukraine	http://www.amazon.com/gp/product/B00167XWJM?ie=UTF8&camp=213733&creative=393185&creativeASIN=B00167XWJM&linkCode=shr&tag=zackle-20&linkId=75CM672JM564RQSD	http://40.media.tumblr.com/904c547e84a25a11c5c1e1de02b1c8e7/tumblr_nd41xcZsrT1rhxqjno1_1280.jpg	cabinsupplies:	48.6208	22.287883	http://cabinporn.com/page/5
Biedouberge, South Africa	http://cabinporn.com/image/99488025540	http://40.media.tumblr.com/b054d13e6adf337093b3dbdc55a9a370/tumblr_ncn3oyCNDG1qzwmsso1_1280.jpg	Cabin with a butterfly roof in the Cederberg Mountains, South Africa.	-32.0936111	19.2966667	http://cabinporn.com/page/5
Ahmic Lake, Ontario, Canada	http://cabinporn.com/image/99405109675	http://36.media.tumblr.com/f6f6873f53c2f5e8ed817d1dbc47b844/tumblr_ncq6ffYnXw1qzwmsso1_1280.jpg	Cabin on Ahmic Lake, Ontario.	45.6475895	-79.7175743	http://cabinporn.com/page/5
Aspen, CO, USA	http://cabinporn.com/image/99154006730	http://36.media.tumblr.com/7275488ad3983ec6bd8ea43c315fcdc7/tumblr_ncxn6jRsFz1qzwmsso1_1280.jpg	The Tagert 10th Mountain Ski Hut under the first snow of Fall, near Aspen, CO.	39.1910983	-106.8175387	http://cabinporn.com/page/5
Shenandoah National Park, Virginia, USA	http://cabinporn.com/image/98974736217	http://40.media.tumblr.com/4c03aa3bb799abb4c5e06c9c01029f2f/tumblr_mhz4baOIp51qzwmsso1_1280.jpg	Pocosin Cabin near the Appalachian Trail, Shenandoah National Park, Virginia.	38.29275579999999	-78.6795836	http://cabinporn.com/page/5
Folkestad, Norway	http://cabinporn.com/image/98891448288	http://40.media.tumblr.com/6c291af05ef65324d0e1c25e1dc0d799/tumblr_n2nbt40Ao31qzwmsso1_1280.jpg	Cabin with an earthen roof near Folkestad, Norway.	59.447304	9.071626	http://cabinporn.com/page/5
Big Sur, CA 93920, USA	http://cabinporn.com/image/98808991966	http://36.media.tumblr.com/f3686646f276f4b3632e716c53b7ff7b/tumblr_nca51uj02F1qzwmsso1_1280.jpg	Cabin in Big Sur, California.	36.2704212	-121.807976	http://cabinporn.com/page/5
Crested Butte, CO 81224, USA	http://cabinporn.com/image/98748829825	http://40.media.tumblr.com/d1b03803a9aca0d5b86e9e9215418318/tumblr_ncok4mNP6J1qzwmsso1_1280.jpg	Lean-to in the hills above Crested Butte, CO. 	38.8697146	-106.9878231	http://cabinporn.com/page/6
Velebit, 53211, Trnovac, Croatia	http://cabinporn.com/image/98739984090	http://36.media.tumblr.com/d33db5eca08d05ff21c7d88116e0de46/tumblr_ncnm6tAjmm1qzwmsso1_1280.jpg	Shelter in Veliko Rujno Valley, Velebit, Croatia.	44.533333	15.233333	http://cabinporn.com/page/6
Abiskojaure, Abisko National Park, 981 07 Abisko, Sweden	http://cabinporn.com/image/98726913530	http://40.media.tumblr.com/a77858a204585f61084746d7eda69e0c/tumblr_ncj1caONf01qzwmsso1_1280.jpg	Shelter near Abiskojaure, Sweden.	68.2833333	18.6333333	http://cabinporn.com/page/6
Texas, USA	http://cabinporn.com/image/98475268600	http://40.media.tumblr.com/e5a4e56c13e96a3d78af05806aa8e080/tumblr_nchghigViw1qzwmsso1_1280.jpg	Fixer-upper in East Texas.	31.9685988	-99.9018131	http://cabinporn.com/page/6
Poso Stay here, Nairobi, Kenya	http://www.candlewoodcabins.com/site/glass_house	http://36.media.tumblr.com/17ca316b225371de6099c40757c6baa2/tumblr_ncetkuzeVd1qzwmsso1_r1_1280.jpg	STAY HERE	-1.2690419	36.8215578	http://cabinporn.com/page/6
Canyonville, OR, USA	http://cabinporn.com/image/98310048605	http://36.media.tumblr.com/14d7778fd4c8adcfd6cbb33bc714c282/tumblr_naz21lqKV41qzwmsso1_1280.jpg	Cabin built to resemble a fire lookout near Canyonville, Oregon. 	42.9273406	-123.2811748	http://cabinporn.com/page/6
Pescadero, CA, USA	http://cabinporn.com/image/98306965525	http://41.media.tumblr.com/2cbc5363f89f2b1932b12e8fbc075a68/tumblr_ncdo5vBSBR1qzwmsso1_1280.jpg	Tent bungalow in Pescadero, CA.	37.2551636	-122.3830152	http://cabinporn.com/page/6
Darjeeling, West Bengal, India	http://cabinporn.com/image/98229410771	http://40.media.tumblr.com/d66880f7a618cd4d37c51eee58443da5/tumblr_nc05uxJfAb1qzwmsso1_1280.jpg	Hut made from salvaged materials in Darjeeling, India. 	27.0360066	88.2626751	http://cabinporn.com/page/6
90100 Oulu, Finland	http://cabinporn.com/image/98147358362	http://36.media.tumblr.com/43791b8c887f33b19c606742d24a2405/tumblr_nc0dry2mli1qzwmsso1_1280.jpg	Kesän Sauna is a public sauna on Tuira Beach in Oulu, Finland. 	65.0126148	25.4714526	http://cabinporn.com/page/6
South Island	http://cabinporn.com/image/97890615340	http://36.media.tumblr.com/703fd065b2d13daf6ba1d3171afbd4f7/tumblr_mqb2v5N9Hc1qzwmsso1_1280.jpg	Sam Summer’s stone cabin on South Island, New Zealand.	-45.15267069999999	169.8926333	http://cabinporn.com/page/6
South, Iceland	http://cabinporn.com/image/97840935115	http://40.media.tumblr.com/e39ff2d3a65645edeab720efd4cdd26e/tumblr_nc3wdgDYQ81qzwmsso1_1280.jpg	Cabin near Arthur’s Pass, South Island, New Zealand.	64.2661426	-18.8158138	http://cabinporn.com/page/7
Valdres, Nord-Aurdal, Norway	http://cabinporn.com/image/97812417310	http://41.media.tumblr.com/0176b592ed5a2eb7f2664cc9f8730523/tumblr_naxs5oQ26E1qzwmsso1_1280.jpg	Cabin in Valdres, Norway.Contributed by Sturla Opsahl. 	60.9166667	9.1666667	http://cabinporn.com/page/7
Lychen, Germany	http://cabinporn.com/image/97733853839	http://41.media.tumblr.com/617d0829069186822009da8441a4508f/tumblr_nb6hxzYJuh1qzwmsso1_1280.jpg	Rustic river shack in Lychen, Germany.	53.21471649999999	13.3068717	http://cabinporn.com/page/7
Mont Lozère, Cévennes National Park, 48220 Le Pont-de-Montvert, France	http://cabinporn.com/image/97472249630	http://41.media.tumblr.com/4602110a5c11f2030ed6fb699392fe5c/tumblr_nbm4ljji2j1qzwmsso1_1280.jpg	Cabin under (re)construction on the path of Stevenson (GR70), Mont-Lozère, France.	44.425963	3.739343	http://cabinporn.com/page/7
Luleå, Sweden	http://cabinporn.com/image/97303975963	http://36.media.tumblr.com/0baeec1dbb4116734afb6792a53a2221/tumblr_nbkzxeFEYK1qzwmsso1_1280.jpg	Cabin on the archipelago near Luleå, Sweden.	65.584819	22.1567026	http://cabinporn.com/page/7
19650 Tampinmylly, Finland	http://cabinporn.com/image/97222194775	http://40.media.tumblr.com/f40bcf48b0d5bc5fe2ed9a95bb65752f/tumblr_nbf3vh2BVu1qzwmsso1_1280.jpg	Summer cottage in Tampinmylly, Finland.	61.79949229999999	26.174664	http://cabinporn.com/page/7
Antalya, Turkey	http://cabinporn.com/image/97141157742	http://41.media.tumblr.com/adf96865860c0619da79204cfc8818cc/tumblr_nblapyiGNv1qzwmsso1_1280.jpg	Shack in Olympos, near Antalya, Turkey.	36.88414	30.70563	http://cabinporn.com/page/8
Atlin, BC, Canada	http://cabinporn.com/image/96455935207	http://40.media.tumblr.com/8d8a7251adfe91452125085e4f865ca7/tumblr_naov2uzZDF1qzwmsso1_1280.jpg	Trapper cabin in Atlin, British Columbia.	59.578028	-133.689524	http://cabinporn.com/page/8
Innsbruck, Austria	http://carmesine.tumblr.com	http://40.media.tumblr.com/cc00806515a0962cd505e9bd8c677191/tumblr_navflwcOHi1qzwmsso1_1280.jpg	Stone and wood shack near Kemacher Peak in Innsbruck, Austria.	47.2692124	11.4041024	http://cabinporn.com/page/8
Dydiowa, Poland	http://cabinporn.com/image/96003186344	http://40.media.tumblr.com/5f3247b61dd474ca472d5996a5970d41/tumblr_nanwluXIFM1qzwmsso1_1280.jpg	A-frame in Dydiówka, Poland.	49.1796264	22.745737	http://cabinporn.com/page/8
Berner Oberland, 3984 Lauterbrunnen, Switzerland	http://atmoslab.ch	http://40.media.tumblr.com/b96ed2c3438e25ccb9071dc7508b7217/tumblr_n83g1cKAaU1qzwmsso1_1280.jpg	Stone cabin in Berner Oberland, Bern, Switzerland.	46.5367813	7.962594799999999	http://cabinporn.com/page/8
	http://cabinporn.com/image/95827249969	http://36.media.tumblr.com/f704a8da90f3ec53e48601f0f30be32f/tumblr_naq1lmhyhQ1qzwmsso1_1280.jpg	Hunting cabin in Gutin Mountains, Romania.			http://cabinporn.com/page/8
Valais, Switzerland	http://cabinporn.com/image/95737451669	http://40.media.tumblr.com/f7e1cc5308f24d53548fb2bfa3192a74/tumblr_naf7w5mzSQ1qzwmsso1_1280.jpg	Refuge de Bouquetins in Valais, Switzerland.	46.1904614	7.5449226	http://cabinporn.com/page/8
Isfjorden, Norway	http://cabinporn.com/image/95463370000	http://40.media.tumblr.com/e5f15050801a1db94a952742b9429f8a/tumblr_na6qphr25r1qzwmsso1_1280.jpg	Cabin 800 miles from the North Pole on Isfjorden, Svalbard, Norway.	62.57786489999999	7.7937327	http://cabinporn.com/page/8
Holy Island, Berwick-upon-Tweed, Northumberland TD15, UK	http://cabinporn.com/image/95374523655	http://40.media.tumblr.com/5abb8bd2ba20db5b87b4da6faa4a340b/tumblr_na8krqJ0971qzwmsso1_1280.jpg	Refuge shelter on Holy Island, Northumbria, UK.	55.671239	-1.802039	http://cabinporn.com/page/9
	http://cabinporn.com/image/95283622940	http://40.media.tumblr.com/7b1095b960b9b3bb486ce6f1e1298c91/tumblr_na94n7ubij1qzwmsso1_1280.jpg				http://cabinporn.com/page/9
Dartmoor National Park, Devon, UK	http://cabinporn.com/image/95193743116	http://40.media.tumblr.com/ab63669a0f2a68daa9c9ec27cb1bbc4c/tumblr_na9huzhYnW1qzwmsso1_1280.jpg	Hand-built tent in Dartmoor National Park, Devon UK.	50.5718857	-3.9206884	http://cabinporn.com/page/9
Westland Street, Green Island, Dunedin 9018, New Zealand	http://cabinporn.com/image/95100486799	http://40.media.tumblr.com/ba5398ebf3a63144bc79fca7e839f9c6/tumblr_nadw4ajyj81qzwmsso1_1280.jpg	Mt. Brown Hut in Westland, New Zealand.	-45.90207059999999	170.4254739	http://cabinporn.com/page/9
Poljšica pri Podnartu, Slovenia	http://cabinporn.com/image/94864325765	http://40.media.tumblr.com/4d5e0090ca48fc96a95e5a57973dc776/tumblr_nacic0ZMly1qzwmsso1_1280.jpg	A-frame and family camp in Poljšica, Slovenia.	46.27795080000001	14.2601683	http://cabinporn.com/page/9
